,machine_cost,tracking_error_ideal,tracking_error_true,short_shortfall_init,short_shortfall_true,weekly_liq_unhedged_init,weekly_liq_unhedged_true,unhedged_tracking_error_init,unhedged_tracking_error_true,k,lambda_C
146,1350.0,0.005352652090936745,0.010446052242216605,0.001445234238815124,0.001837314993162087,1012.4114845983943,2314.0586887337295,0.2500655669641524,-0.71411754721017,46,0.9
147,1350.0,0.0004922176865988426,0.004740466853142688,0.0014452342388147077,0.0018373149931616706,1534.5561896046281,2842.7727759602994,-0.13670828859602083,-1.105757611822444,47,0.9
148,1350.0,-0.014222168999976862,0.03497994582078379,-1.3877787807814457e-16,0.0018780783163941939,2802.790720959883,4176.431041069816,-1.0761412747850985,-2.0936526230146786,48,0.9
149,1350.0,0.008506646309562913,0.027684821644894577,0.0014452342388149297,0.0025790646876966417,2115.9458919642097,3452.677992786598,-0.5673673273808961,-1.5575392539159987,49,0.9
150,1350.0,0.009067130150283289,0.015585927067797016,0.0014452342388126815,0.0018373149931596444,1771.3697276548464,3087.5278677204938,-0.31212572418877516,-1.2870576797929583,50,0.9
151,1350.0,0.010033325601663111,0.029645902545264804,0.0014452342388141803,0.0025790646876958923,1379.3371151980857,2704.909829454648,-0.021731196443026454,-1.0036369107071466,51,0.9
152,1350.0,-0.008763260528846085,0.03871980078612199,6.106226635438361e-16,0.0018780783163949433,968.5803165641217,2308.352701832583,0.2825330988413913,-0.7098908902463579,52,0.9
153,1350.0,-0.01641855182965137,0.14006126494078933,-9.43689570931383e-16,0.001878078316393389,4497.584299349408,5900.759003349779,-2.331543925444006,-3.3709325950739104,53,0.9
154,1350.0,-0.016447378851797013,0.04465248130802863,7.216449660063518e-16,0.0018780783163950543,2952.201693002026,4327.030160375858,-1.1868160688903895,-2.2052075262043394,54,0.9
155,1350.0,-0.012348691331502203,0.02158180647085493,2.220446049250313e-16,0.0018780783163945547,1441.3531185382653,2788.7822613899666,-0.06766897669501136,-1.065764638066642,55,0.9
156,1350.0,0.30072265680544313,0.0009139358702176133,0.06415919086887549,0.00048388180415305515,302.49253733314964,901.281435904719,0.7759314538272966,0.33238412155206,56,0.9
157,1350.0,0.011444968778369313,0.04395897203465699,0.0014452342388136252,0.003323312555207958,1117.3019366841809,2454.3568809448566,0.17236893578949564,-0.8180421340332271,57,0.9
